"DayNight","PSUM","RH","RSWR","TA","TSG","VW","timestamp"
"Night",0,0.862,0,13.4113333333334,16.3066666666667,0.966666666666667,2024-08-31 21:00:00
"Day",0.075,0.6305,94.53125,17.4825,17.60125,1.271875,2024-09-01 05:00:00
"Night",0,0.878733333333333,0,11.184,15.16,0.74,2024-09-01 21:00:00
"Day",0.075,0.74565625,69.0625,15.16125,16.0490625,1.2,2024-09-02 05:00:00
"Night",0.08,0.957666666666667,0,10.0933333333334,14.22,0.826666666666667,2024-09-02 21:00:00
"Day",0,0.70478125,68.96875,15.70625,15.6415625,1.503125,2024-09-03 05:00:00
"Night",0,0.884866666666667,0,11.698,14.582,0.893333333333333,2024-09-03 21:00:00
"Day",0,0.73253125,59.8125,15.143125,15.733125,1.58125,2024-09-04 05:00:00
"Night",0,0.852933333333333,0,12.9786666666667,14.666,0.54,2024-09-04 21:00:00
"Day",0.075,0.62690625,39.84375,15.895625,15.383125,1.046875,2024-09-05 05:00:00
"Night",0,0.966866666666667,0,10.2266666666667,13.7053333333334,0.646666666666667,2024-09-05 21:00:00
"Day",0,0.716375,106.21875,15.391875,16.265625,1.771875,2024-09-06 05:00:00
"Night",0,0.904333333333333,0,9.63400000000003,13.1793333333334,0.846666666666667,2024-09-06 21:00:00
"Day",0,0.53659375,116.15625,16.9334375,15.5484375,1.43125,2024-09-07 05:00:00
"Night",0,0.7178,0,11.7593333333334,13.2466666666667,1.03333333333333,2024-09-07 21:00:00
"Day",1.3125,0.91375,15.96875,12.5040625,13.6875,0.91875,2024-09-08 05:00:00
"Night",0.8,0.950933333333333,0,9.96266666666668,13.2246666666667,2.1,2024-09-08 21:00:00
"Day",0.4125,0.88146875,38.9375,9.32968750000002,13.32875,2.159375,2024-09-09 05:00:00
"Night",1.44,0.9028,0,8.6686666666667,12.0326666666667,2.38,2024-09-09 21:00:00
"Day",0.075,0.80671875,71.96875,10.1403125,13.0465625,3.296875,2024-09-10 05:00:00
"Night",0,0.9654,0,5.50400000000002,11.2726666666667,0.893333333333333,2024-09-10 21:00:00
"Day",0.0375,0.82990625,76.25,9.18437500000003,12.201875,3.375,2024-09-11 05:00:00
"Night",0.32,0.9552,0,4.74933333333336,11.078,4,2024-09-11 21:00:00
"Day",0,0.86534375,63.9375,3.09593750000003,10.714375,3.8875,2024-09-12 05:00:00
"Night",0.16,0.903733333333333,0,1.50000000000002,9.08533333333335,2.99333333333333,2024-09-12 21:00:00
"Day",0.075,0.87503125,41.09375,1.01937500000002,8.67156250000002,3.35625,2024-09-13 05:00:00
"Night",0,0.970933333333333,0,0.152666666666691,7.08133333333335,3.46,2024-09-13 21:00:00
"Day",0.2625,0.95746875,40.21875,1.17437500000002,6.55406250000002,3.3625,2024-09-14 05:00:00
"Night",0,0.973866666666667,0,0.0900000000000241,6.30800000000002,1.39333333333333,2024-09-14 21:00:00
"Day",0,0.7955,110.0625,3.18062500000002,7.50062500000002,2.765625,2024-09-15 05:00:00
"Night",0,0.914266666666667,0,2.28200000000002,6.98200000000002,1.34,2024-09-15 21:00:00
"Day",0.1125,0.92115625,40.65625,2.76125000000002,7.58750000000002,3.271875,2024-09-16 05:00:00
"Night",0.4,0.985666666666667,0,1.65000000000002,6.72000000000002,1.72,2024-09-16 21:00:00
"Day",0.075,0.88946875,91.53125,6.23343750000002,8.69531250000002,3.4,2024-09-17 05:00:00
"Night",0,0.948533333333333,0,2.88600000000002,6.79866666666669,1.39333333333333,2024-09-17 21:00:00
