"ISWR","P","RH","TA","VW","timestamp","day_of_year","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","site","position","Elevation","ISWR_r3d","P_r3d","RH_r3d","TA_r3d","VW_r3d"
398.666666666667,78314.1586666667,0.943,-2.37666666666663,2.56666666666667,"2024-09-13 12:00:00",257,12,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,139.68,78218.4344666667,0.871586666666667,2.41640000000002,2.01733333333333
219.666666666667,78420.2653333333,0.948,-2.52666666666664,3.93333333333333,"2024-09-13 15:00:00",257,15,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,131.226666666667,78208.9852,0.874973333333333,2.03653333333336,2.08933333333333
32.6666666666667,78523.8553333333,0.971666666666667,-3.04999999999999,3.76666666666667,"2024-09-13 18:00:00",257,18,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,118.48,78204.5878,0.880453333333333,1.60173333333336,2.16666666666667
0,78628.162,0.973666666666667,-3.1633333333333,3.7,"2024-09-13 21:00:00",257,21,0,0,0,0,0,"LED On","Jatzhorn","Middle",2079,116.76,78203.8978,0.883093333333333,1.22720000000002,2.26933333333333
0,78655.4186666667,0.987333333333333,-2.95999999999996,4.8,"2024-09-14 00:00:00",258,0,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,116.76,78204.6786666667,0.8872,0.900400000000023,2.43333333333333
0,78702.0803333333,0.988,-2.67333333333331,4.03333333333333,"2024-09-14 03:00:00",258,3,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,116.76,78210.9770666667,0.89596,0.585733333333356,2.55733333333333
35.6666666666667,78807.0103333333,0.987333333333333,-2.78999999999998,3.03333333333333,"2024-09-14 06:00:00",258,6,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,118.186666666667,78226.5549333333,0.911346666666667,0.244666666666688,2.63466666666667
243.666666666667,78900.7086666667,0.959666666666667,-2.51666666666663,2.66666666666667,"2024-09-14 09:00:00",258,9,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,125.693333333333,78247.6003333333,0.92436,-0.106133333333311,2.68
351.666666666667,78984.9503333333,0.969,-1.54333333333331,2.93333333333333,"2024-09-14 12:00:00",258,12,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,119.48,78273.0458666667,0.93828,-0.551199999999977,2.76666666666667
170.666666666667,79056.3503333333,0.979666666666667,-1.76999999999998,2.5,"2024-09-14 15:00:00",258,15,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,108.066666666667,78304.1255333333,0.952453333333333,-1.04586666666664,2.84
