filename,camera,precision,recall,F1_score,TP,FP,FN
20240812175659.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240805132452.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240830235817.jpg,DIOPSIS-391,0.0,0.0,0.0,0,2,2
20240823090021.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240714173843.jpg,DIOPSIS-385,1.0,0.5,0.6666666666666666,1,0,1
20240823201953.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240804100754.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240808232453.jpg,DIOPSIS-389,1.0,1.0,1.0,1,0,0
20240827084905.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,1
20240813190003.jpg,DIOPSIS-391,0.0,0.0,0.0,0,1,3
20240815090432.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240803100029.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,1
20240815214546.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,1
20240824113030.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,0
20240814102059.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240808080306.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240829143508.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240725194937.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240723141425.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,1
20240708212922.jpg,DIOPSIS-421,0.0,0.0,0.0,0,1,1
20240713131841.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240805173529.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240817211243.jpg,DIOPSIS-389,0.0,0.0,0.0,0,1,1
20240901090600.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240708213453.jpg,DIOPSIS-421,0.0,0.0,0.0,0,1,1
20240731070456.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240715105816.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240711183354.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,2
20240819213033.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240819132935.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,1
20240819065244.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240911135243.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,1
20240826220749.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,1
20240716164413.jpg,DIOPSIS-388,0.0,0.0,0.0,0,1,1
20240727054227.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240830175836.jpg,DIOPSIS-421,0.0,0.0,0.0,0,1,1
20240830152016.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240728110221.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240826223652.jpg,DIOPSIS-387,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2
20240908181351.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,1
20240801143851.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240718131255.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240807090720.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240804140417.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240723112638.jpg,DIOPSIS-385,0.0,0.0,0.0,0,2,4
20240826125944.jpg,DIOPSIS-388,0.0,0.0,0.0,0,1,0
20240816231608.jpg,DIOPSIS-383,0.0,0.0,0.0,0,2,2
20240814201909.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240804095726.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240803133250.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,1
20240912180744.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240919092609.jpg,DIOPSIS-387,0.0,0.0,0.0,0,1,1
20240807084923.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240819224506.jpg,DIOPSIS-421,0.0,0.0,0.0,0,1,7
20240809072952.jpg,DIOPSIS-384,1.0,0.5,0.6666666666666666,1,0,1
20240810233734.jpg,DIOPSIS-391,0.6,0.5,0.5454545454545454,3,2,3
20240829234258.jpg,DIOPSIS-389,0.25,0.14285714285714285,0.18181818181818182,1,3,6
20240813171344.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240709191057.jpg,DIOPSIS-421,0.0,0.0,0.0,0,1,2
20240816225122.jpg,DIOPSIS-389,0.5,0.5,0.5,2,2,2
20240715160315.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240709033907.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240728132534.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240908233608.jpg,DIOPSIS-421,1.0,0.3333333333333333,0.5,1,0,2
20240826212929.jpg,DIOPSIS-389,0.0,0.0,0.0,0,3,8
20240813213638.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240804201004.jpg,DIOPSIS-387,0.0,0.0,0.0,0,1,1
20240829193757.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,2
20240824135349.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240720091704.jpg,DIOPSIS-421,0.0,0.0,0.0,0,1,1
20240815221102.jpg,DIOPSIS-385,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1
20240911114716.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240803193436.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240820162602.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240822184327.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240827194058.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,1
20240820132106.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240807101933.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240917175051.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240717074217.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240831124850.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240916134014.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240730195410.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240922220012.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,1
20240807223606.jpg,DIOPSIS-389,0.2857142857142857,0.25,0.26666666666666666,2,5,6
